Country , Number of crypto owners ,Percentage of the population, GDP Per Capita ,
Belize," 5,377.00 ",1.22%," 6,228.30 ",
Kuwait," 79,518.00 ",1.20%," 24,811.80 ",
Oman," 65,008.00 ",1.19%," 19,509.50 ",
Papua New Guinea," 27,957.00 ",1.18%," 2,672.90 ",
Fiji," 10,626.00 ",1.17%," 4,646.60 ",
Maldives," 6,943.00 ",1.16%," 10,366.30 ",
Qatar," 32,270.00 ",1.16%," 66,838.40 ",
Luxembourg," 6,766.00 ",1.06%," 133,590.10 ",
French Polynesia," 2,993.00 ",1.05%," 19,914.60 ",
Tajikistan," 105,046.00 ",1.05%, 897.00 ,
Suriname," 6,489.00 ",1.05%," 4,869.10 ",
Bahrain," 19,741.00 ",1.04%," 26,563.00 ",
Cuba," 118,772.00 ",1.04%," 9,477.90 ",
Gabon," 7,221.00 ",1.03%," 8,635.30 ",
Turkmenistan," 63,937.00 ",1.03%," 7,612.00 ",
Iceland," 8,016.00 ",1.01%," 68,727.60 ",
Guyana," 7,983.00 ",1.01%," 9,998.50 ",
Macao," 3,921.00 ",1.01%," 43,873.59 ",
Cabo Verde," 5,395.00 ",1.00%," 3,293.20 ",
New Caledonia," 2,983.00 ",0.99%," 37,159.50 ",
Brunei Darussalam," 5,169.00 ",0.99%," 31,449.10 ",
"Virgin Islands , U.S."," 1,032.00 ",0.99%," 39,552.17 ",
Cayman Islands," 1,075.00 ",0.98%," 86,568.80 ",
Bermuda, 681.00 ,0.97%," 114,090.30 ",
